1,4,39,8,0,15,11,150,95
2,5,186,11,1,4,3,474,90
3,2,4,3,0,7,3,89,80
4,3,86,8,0,7,4,121,95
5,5,17,4,0,15,5,172,85
6,3,38,6,0,12,4,127,95
8,7,139,10,0,20,8,802,95
9,5,58,12,0,47,17,390,90
10,4,112,10,0,57,9,407,90
11,6,102,11,0,47,16,1013,95
12,5,79,9,0,31,16,289,90
13,7,103,17,0,33,19,614,95
14,2,10,5,0,7,4,45,85
16,16,334,12,0,42,10,760,90
17,6,47,5,0,32,11,281,90
18,6,131,11,0,38,13,762,95
19,3,49,6,0,13,7,328,85
20,2,12,7,0,9,5,68,85
21,5,240,8,1,26,7,657,85
22,9,90,6,0,15,3,419,85
23,5,80,6,0,17,5,328,85
24,12,317,10,0,27,24,448,95
26,36,2281,18,0,81,40,5210,95
27,4,30,8,0,18,10,135,90
28,35,594,7,1,83,14,3978,95
29,5,121,11,0,66,18,561,95
31,7,100,11,0,23,12,425,95
32,2,5,4,0,4,4,60,80
33,2,10,7,0,0,0,58,80
35,3,42,7,0,21,10,199,90
38,6,42,7,0,13,7,195,95
40,27,707,8,0,26,1,2021,95
41,9,156,10,0,84,22,1331,90
42,12,303,11,0,42,16,684,90
44,7,141,8,1,38,15,456,95
45,6,60,6,1,29,5,241,90
47,12,135,8,1,50,11,706,85
50,2,33,8,0,13,9,160,95
52,2,14,6,0,9,7,80,80
53,21,207,9,0,55,15,1675,95
54,21,408,13,0,150,14,1589,90
55,3,14,5,0,14,10,56,90
56,5,94,13,0,31,8,394,85
58,6,39,5,0,27,9,112,90
59,2,10,7,0,9,5,64,85
60,11,56,5,0,56,12,292,85
62,13,92,9,0,38,11,507,95
63,11,131,10,0,89,11,627,95
64,10,67,8,0,34,13,304,95
65,16,96,8,0,125,15,254,85
66,9,131,9,0,49,11,355,85
67,3,32,8,0,10,6,140,80
68,13,178,10,0,48,16,874,95
70,5,34,8,0,14,8,172,85
72,2,17,3,0,6,3,57,80
73,12,100,11,0,38,15,482,90
74,10,169,6,1,14,7,384,80
75,23,433,14,0,90,15,1699,95
76,3,16,3,0,3,3,95,80
78,3,21,5,0,17,11,132,80
79,7,349,13,0,44,14,635,95
80,7,61,8,0,25,19,336,90
82,6,35,3,1,45,9,563,80
83,5,48,6,1,42,8,209,85
85,7,142,7,0,30,10,285,85
86,1,6,3,0,8,3,20,80
87,1,10,6,0,7,7,112,80
88,11,184,6,0,63,15,1121,90
89,9,175,12,0,29,8,669,80
90,9,77,9,0,41,19,199,85
91,4,88,7,0,14,9,204,90
92,3,15,4,0,7,5,118,80
93,9,98,7,0,51,17,501,95
94,3,16,4,0,7,5,104,85
96,5,29,5,0,22,12,197,90
97,7,60,5,0,21,17,387,90
98,22,356,8,1,63,21,869,80
99,5,54,7,0,22,9,292,80
102,3,16,5,0,3,3,27,85
103,3,36,5,0,20,13,210,95
104,2,6,3,0,7,3,54,80
105,4,41,6,0,53,21,152,90
106,4,175,10,1,31,14,458,85
107,7,175,10,0,71,20,879,95
108,9,53,5,0,20,8,338,85
109,3,15,4,0,32,22,111,85
110,14,94,11,1,30,9,593,85
111,3,22,5,0,7,3,260,85
112,9,40,6,0,29,10,346,90
113,3,97,6,1,26,18,804,95
114,2,5,3,0,10,6,31,80
115,7,22,5,0,27,16,114,85
116,3,52,9,0,19,7,319,85
117,7,51,7,0,11,8,293,85
121,2,5,3,0,10,6,31,85
122,5,107,7,1,21,8,440,95
123,4,28,6,1,23,7,130,95
125,1,31,5,1,23,12,209,95
126,4,123,5,0,18,11,104,90
127,29,474,10,1,51,19,854,90
130,3,22,9,0,18,10,109,80
133,20,397,10,0,166,36,1871,95
134,2,13,5,0,12,8,89,85
137,10,75,5,1,74,7,470,90
138,4,50,11,1,44,17,584,95
139,5,65,8,0,34,15,173,95
143,2,36,6,1,6,5,483,90
144,6,74,6,1,39,15,501,95
145,9,358,14,1,85,21,1251,95
146,8,166,11,0,19,11,669,90
148,9,315,9,0,110,25,1887,95
149,22,149,5,1,24,1,353,90
152,8,142,11,1,18,3,1223,95
155,9,186,6,1,25,16,330,95
156,2,0,0,0,0,0,4,80
158,5,101,7,1,5,4,582,90
159,8,142,11,1,18,3,1223,95
160,4,55,9,1,38,21,703,95
161,9,94,8,1,33,9,856,95
162,2,6,3,0,7,3,54,85
163,5,106,4,0,54,11,842,95
